Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Former Dropbox and Facebook Engineers Raise $9 Million for Gem
* Mark Zuckerberg's vision may mean more Facebook in more parts of your life

Negative Headlines:
* Facebook Live Stream of Shooting Is Latest Tech Bad News
* Facebook Execs Who Have Left Since the Cambridge Analytica Scandal
* What Caused Facebook, Instagram Outage? Server, Company Says - Bloomberg
* Facebook says it's policing its platform, but it didn't catch a livestream of a massacre. Why?
* Facebook Tweets: Instagram And Facebook Are Down

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 3.54%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook Halts Ad Targeting Cited in Bias Complaints (Published 2019)
* Facebook stored hundreds of millions of passwords unprotected
* Facebook Exposed Up To 600 Million Passwords -- Here's What To Do
* Facebook says it left 'hundreds of millions' of user passwords unencrypted
* Facebook says its artificial intelligence systems failed to detect New Zealand shooting video

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.41%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook bans white nationalism from platform after pressure from civil rights groups

Negative Headlines:
* Facebook to consider live video restrictions after NZ attacks
* How Facebook grew too big to handle
* Facebook crumbles around its lonely king
* HUD Action Against Facebook Signals Trouble for Other Platforms
* Mark Zuckerberg calls for stronger regulation of internet

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.24%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook's Mark Zuckerberg tells George Stephanopoulos he's 'confident' about 2020 election: 'We've learned a lot since 2016'
* Mark Zuckerberg Believes Facebook Is Still Fundamentally a Good Thing
* Facebook's New Albany data center will be much bigger than originally planned - Columbus Business First

Negative Headlines:
* Facebook, Twitter sucked into India-Pakistan information war
* Today's News: Prince Harry Hates Fortnite, Facebook Hackers, And More
* Third-Party Apps Exposed Over 540 Million Facebook Records
* Facebook's Mark Zuckerberg: 'We're still looking' into report that millions of users' data was publicly accessible on Amazon Cloud
* Millions of Facebook accounts found on Amazon cloud servers

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.16%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Using AI To Stop Insensitive Notifications After Someone Dies
* Trump is 2nd most liked current world leader on Facebook
* Facebook nominates Peggy Alford, first African American woman, to its board of directors
* Bunz Pays Users For Their Personal Data - Google and Facebook Be Warned - This Is The Future

Negative Headlines:
* R.I.P. to a Startling Facebook Feature: Reminders of Dead Friends' Birthdays (Published 2019)
* Facebook Was A Democracy 2009-2012 But We Didn't Vote So It Turned Into A Dictatorship
* A Canadian Anti-Muslim Facebook Page Is Tricking People Into Visiting Misleading Websites
* Facebook posts about Sajid Javid deepen Tory Islamophobia row
* Mark Zuckerberg's Security Costs Rocket After Facebook's Hellish Year

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.38%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook security lapse affects millions more Instagram users than first stated
* Facebook Uploaded 1.5 Million Users' Email Contacts Without Permission
* Alexandria Ocasio-Cortez quits Facebook, calls social media ‘a public health risk’
* 15 Months of Fresh Hell Inside Facebook
* Why Alexandria Ocasio-Cortez called Facebook a 'public health risk'

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.76%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook (FB) New Campus for Oculus Gets $515 Million Financing
* Facebook Taps PayPal Exec As 1st African American Woman To Join Board
* Facebook's Snapchat Stories Clone Has Twice As Many Users As Snapchat
* Nike, Telegram, Facebook, and Everyone Else Suddenly Love Blockchain

Negative Headlines:
* Facebook and Gumtree knife robber Jalees Ahmad jailed
* Jared Kushner dismisses Russian interference as 'couple of Facebook ads'
* Facebook racism? Black users say racism convos blocked as hate speech
* Sri Lanka's social media ban won't solve its misinformation problem
* Facebook Will Finally Pay—Billions—for Its Privacy Missteps

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 5.54%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Meet your secret admirer: Facebook Dating feature may spark romance
* Facebook Tries a New Look as Zuckerberg Proclaims a New Era

Negative Headlines:
* Facebook Scammers Are Stealing Huge Celebrity And Interest Pages To Reap Ad Dollars
* Facebook's Zuckerberg announces privacy overhaul: ‘We don’t have the strongest reputation'
* Louis Farrakhan, Alex Jones, Milo Yiannopoulos banned from Facebook
* Facebook Faces a Big Penalty, but Regulators Are Split Over How Big (Published 2019)
* Antiquities looted in Syria and Iraq are sold on Facebook

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.35%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook CEO Mark Zuckerberg's Game Plan Boils Down to One Word: Domination
* TikTok: How social media video startup beat Facebook and Instagram to become the most downloaded app on planet

Negative Headlines:
* Whistleblower Says Facebook Is Generating Terror Content
* Facebook co-founder Chris Hughes: It's time to break up Facebook
* Facebook Cofounder: Zuckerberg's Power 'Unprecedented and Un-American'
* Facebook co-founder Chris Hughes says it's time to break up the social media giant
* A Founder of Facebook Says It's Time to Break It Up (Published 2019)

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.86%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook to raise minimum wage of contractors to $20 per hour from mid-next year
* Facebook Is Producing A New Generation Of Alumni Investors. This Time, Women Are In Charge

Negative Headlines:
* Fake Facebook Accounts Mimic Tech Execs: Tim Cook, Elon Musk, Pichai
* Pregnant Chicago woman found dead after baby ripped from her body, child in grave condition
* Family says pregnant woman was killed after replying to Facebook ad
* Christchurch attacks: Facebook curbs Live feature
* Facebook is overrun with fake accounts impersonating tech execs like Tim Cook, Elon Musk, and Sundar Pichai

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.07%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Opinion | The Benefits of Facebook
* Facebook Deleted More Than 2 Billion Fake Accounts In The First Quarter Of The Year [Infographic]

Negative Headlines:
* Facebook Has More Fake Accounts Than Ever Before, Even After Removing 2 Billion Profiles
* TikTok’s relentless growth in India is hitting Facebook
* Instagram: Facebook probes breach of millions of influencer accounts
* Far-Right Propaganda Floods Facebook Ahead of EU Elections
* Far-right Facebook groups 'spreading hate to millions in Europe'

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.91%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Blink Health Appoints Amazon, Facebook & Microsoft Veterans As Leading Pharmacy App Grows Rapidly
* Facebook shareholders pressed for checks on Mark Zuckerberg's power. They failed
* Facebook Shareholders Reject Proposals To Limit Mark Zuckerberg's Power

Negative Headlines:
* Police Post Racist And Violent Messages On Facebook, A Review Shows
* Zuckerberg and Sandberg ignore Canadian subpoena, face possible contempt vote
* Facebook Loses Court Battle To Keep Internal Privacy Breach Records Private
* Facebook post of unconscious Australian climber who failed to reach summit of Everest discovered
* Nancy Pelosi accuses Facebook of 'lying to the public' after it refuses to remove fake video

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 3.71%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook honours Kerala boy for fixing bug in WhatsApp, promises him a place in Hall of Fame

Negative Headlines:
* Google, Facebook, Apple, Amazon face US anti-trust probe
* Apple CEO Tim Cook takes aim at Facebook once again: 'I worry about any property today that pushes news in a f
* Opinion | The Roots of Big Tech Run Disturbingly Deep (Published 2019)
* Break up Facebook? That’s what one co-founder recommends.
* Facebook Investor Calls for Investigation Into Mark Zuckerberg's Power

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 5.6%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* New Facebook feature helps people donate blood by connecting them with blood banks
* Facebook debuts US blood donation tool, its latest public health move
* Facebook's New Cryptocurrency, Libra, Gets Big Backers
* Facebook launches 'Blood Donation' in US before World Blood Donor Day
* Facebook buys stake in four-year-old Indian start-up Meesho; here's why

Negative Headlines:
* Facebook, Google and Twitter need to do more to tackle fake news, EU says
* Opinion | We Read 150 Privacy Policies. They Were an Incomprehensible Disaster. (Published 2019)
* Tech overlords Google and Facebook have used monopoly to rob journalism of its revenue
* A deepfake video of Mark Zuckerberg presents a new challenge for Facebook
* Doctored video of sinister Mark Zuckerberg puts Facebook to the test

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.72%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Reveals Cryptocurrency Plans For Two New Revenue Streams
* Facebook to launch digital currency, Libra, in effort to create new global payment system
* Libra: Facebook launches cryptocurrency in bid to shake up global finance
* Bitcoin price hits 1-year high on boost from Facebook's Libra plan
* 20-year-old crypto millionaire: Facebook Calibra is going to be 'huge' for crypto

Negative Headlines:
* Facebook's Mark Zuckerberg Plummets Down List of America's Best CEOs
* Climate change: 700 companies accused of hiding their carbon footprint
* Opinion | Launching a Global Currency Is a Bold, Bad Move for Facebook (Published 2019)
* GOP senator introduces a bill that would blow up business models for Facebook, YouTube and other tech giants
* Facebook usage falling after privacy scandals, data suggests

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.13%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Instagram's boss says the app doesn't snoop on your conversations for ads
* Support for homeless McDonald's worker shamed on Facebook
* After a Facebook post shamed a man for sleeping in McDonald's, people helped him get back on his feet
* Goldman and Facebook Confirm Geneva as Hot Ticket for Summer

Negative Headlines:
* Facebook's Growth Threatened By Twitter, Snap
* 'Good day for a chokehold': the police endorsing racism and violence on Facebook
* Zuckerberg admits Facebook made an 'execution mistake' in its handling of doctored Pelosi video
* Facebook, Google, Apple, Other Data-Driven Firms, Defy The Global Move To Strong Privacy Regulations
* They turn to Facebook and YouTube to find a cure for cancer — and get sucked into a world of bogus medicine

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.21%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Stock Could Test 2018's All-Time High
* McDonald's Japan is one of the most popular places on Facebook
* Facebook and Instagram outage: Apps are back up at '100% for everyone'
* Facebook’s Libra could boost bitcoin, other cryptocurrencies: Anchorage co-founder Diogo Monica
* 'Mirror Worlds' Creator Wants to Displace Facebook—With Blockchain

Negative Headlines:
* Top Border Officials Condemn 'Highly Inappropriate' Secret Facebook Group (Published 2019)
* Wikipedia co-founder slams Mark Zuckerberg, Twitter and the 'appalling' internet
* Border Patrol Facebook: AOC, migrants targeted on secret Facebook group, ProPublica report finds
* Facebook, Instagram, WhatsApp, Messenger Were All Experiencing Outages
* Why Facebook's Libra currency gets the thumbs down

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.76%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook AI Beat 5 Professional Players In Poker Tourney
* Facebook Builds Poker-Playing AI Bot 'Pluribus' That Can Beat the Pros
* Why the Winklevoss twins think Facebook's Libra is 'very positive' for crypto
* Billionaire Home Depot co-founder shreds Trump haters in new Facebook post
* Facebook is still great as a long-term investment: Motley Fool

Negative Headlines:
* Why governments around the world are afraid of Libra, Facebook's cryptocurrency
* The Fed Chair Says Facebook's Libra Raises 'Serious Concerns'
* F.T.C. Approves Facebook Fine of About $5 Billion
* Facebook to be fined $5bn for Cambridge Analytica privacy violations – reports
* Wildlife Traffickers Use Facebook, Instagram to Find Black-Market Buyers

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.65%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Stories Usage Increasing, May Boost Time Spent on Social Network

Negative Headlines:
* Alexandria Ocasio-Cortez's Libra Questions Expose Problem for Facebook
* Roger Stone banned from using Instagram, Twitter and Facebook, federal judge rules
* Rep. Brad Sherman Insists Facebook's Libra Will Be Worse Than 9/11
* Google And Facebook Secretly Track Your Activity On Porn Sites, Microsoft Reports
* 13 Philadelphia Cops Will Be Fired For Racist And Violent Facebook Posts

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.72%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook nominates chief privacy officer after $5 billion settlement with FTC
* FTC settlement gives Facebook 'a lot to celebrate,' Democratic commissioner Chopra says

Negative Headlines:
* 'You can't do that': Video shows ICE officers smash window, drag man out of car in front of his family
* Facebook Agrees to Extensive New Oversight as Part of $5 Billion Settlement (Published 2019)
* Facebook's 'Success' in the Philippines Is Danger Zone for Journalists
* Facebook will pay $5 billion and submit to historic government oversight to end FTC privacy probe
* Appilikeeshiniin daa'immanii 'Facebook' mudaa godhate

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.27%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Revealed: Johnson ally’s firm secretly ran Facebook propaganda network
* How Facebook failed to break into hardware: The untold story of Building 8
* Another Victim in Facebook Romance Scams: A U.S. Congressman (Published 2019)
* The Week in Tech: Facebook Romance Scams and Banking Hacks (Published 2019)
* 'Facebook is at the point of no return': These 17-year-olds are very clear about what they love and hate about social media

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 3.53%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook in Talks to Take More Space at Manhattan's Hudson Yards
* Facebook passes its first hurdle on a brain-computer interface

Negative Headlines:
* Louis-Ryan Menezes 'killed over Facebook comment'
* Why 'Mark Zuckerberg is the most dangerous person in the world,' according to this NYU business professor
* Trump campaign’s Facebook ads target Latinos in Texas days after shooting
* FBI Surveillance Proposal Sets Up Clash With Facebook
* Ohio Man Arrested, Louisiana Cops Fired After Making Facebook Threats About Alexandria Ocasio-Cortez

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.37%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* HAPSMobile Working Together with Facebook to Accelerate the Adoption of HAPS
* Facebook update: This feature will allow users to share FB posts on WhatsApp with a single tap

Negative Headlines:
* Facebook listening? Facebook paid contractors to listen and transcribe audio chats on its Messenger app
* Facebook admits contractors listened to users' recordings without their knowledge
* Facebook (FB) Quizzed by Watchdog for Listening to User Audio
* Facebook hired people to transcribe voice calls made on Messenger
* Nate Mitchell Exits Facebook, Taking Oculus Era With Him

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.9%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Mom's viral lesson to daughter draws support from thousands on Facebook

Negative Headlines:
* Mark Zuckerberg has sold $296 million worth of Facebook shares in August
* In the Trump Era, a Family's Fight With Google and Facebook Over Disinformation (Published 2019)
* Facebook's Transparency Products Show A Pattern Of Delays And Frayed Partnerships
* Document reveals how Facebook downplayed early Cambridge Analytica concerns
* Newly released messages reveal when Facebook first knew about Cambridge Analytica breach

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 4.52%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Influencer Huda Kattan: Facebook Ads Helped International Growth

Negative Headlines:
* National Security Concerns Threaten Undersea Data Link Backed by Google, Facebook
* Facebook tweaks homepage, no longer says it is 'free and always will be'
* On Instagram, 'Unlink Account' Won't Unlink a Facebook Account
* Facebook acknowledges flaw in Messenger Kids app
* Powerful California Teachers Pension Fund Joins Lawsuit Against Facebook

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.94%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook, Microsoft Back Contest to Better Detect Deepfakes
* Facebook Dating Now Available: How To Use The Dating App To Find Love | IBTimes
* Facebook, Microsoft launch contest for best ideas to detect deepfakes
* Facebook pledges to direct vaccine-related searches to health organizations
* Pathmatics Expands Global Footprint with UK and Germany Launch of Facebook Intelligence

Negative Headlines:
* Why Facebook Really Doesn't Like The Like Button Anymore
* St. Louis man charged with murder after alleged Facebook boast
* Facebook Is Changing a Fundamental Setting After $5 Billion FTC Fine
* Facebook dating app: 400 million phone user numbers exposed on server as Facebook rolls out dating service
* Unsecured Facebook Databases Leak Data Of 419 Million Users

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.8%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Adds Singapore Dollar to Libra Crypto Basket: Report
* Use of Facebook among senior Americans has doubled over recent years
* Facebook's Nicola Mendelsohn named world's top role model woman executive

Negative Headlines:
* These period tracking apps are telling Facebook when you last had sex - triple j
* Google and Facebook reject plan for Australian code of conduct on fake news
* Facebook Suspends Netanyahu's Chatbot for Hate Speech Against Arabs
* Area 51 'Storm' Party Organizers Fear It Could Be the Fyre Festival
* France and Germany agree to block Facebook's Libra

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.83%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Rolls Out Poll, Playable and AR Ads to Boost the News Feed
* Zuckerberg's visit to DC tells lawmakers that Facebook is finally taking them seriously

Negative Headlines:
* Facebook's Suspension of 'Tens of Thousands' of Apps Reveals Wider Privacy Issues (Published 2019)
* Facebook has suspended tens of thousands of apps after Cambridge Analytica investigation
* Facebook suspends tens of thousands of apps
* Facebook, Google and Twitter face fresh heat from Congress on harmful online content
* Facebook Employee Dead by Suicide at Silicon Valley Headquarters

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.99%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Says 'the Time Is Now' for VR at Its Annual Oculus Event
* Facebook will soon let Oculus users build their own avatars so they can play laser tag on the moon
* Facebook exec says the company's smart glasses will help people 'connect with other humans'
* Facebook Deal Suggests Path Forward for Brain-Computer Tech

Negative Headlines:
* Border Patrol Agents Are Writing “Facebook” As A Street Address For Asylum-Seekers Forced To Wait In Mexico
* Facebook Is Top Target for Disinformation Campaigns, New Oxford Study Shows
* Facebook Bought a Mind-Reading Tech Company and People Aren't Happy
* Capital One, Enterprise Ensnared in Facebook Ad Bias Scandal
* Cops miffed over delay in response by social media

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 5.2%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Taboola and Outbrain Are Merging Into A $2 Billion Company To Better Compete With Facebook
* The Week in Tech: Facebook Fights Back

Negative Headlines:
* Facebook's Zuckerberg sympathizes with Bernie Sanders's take on billionaires: 'No one deserves to have that much money'
* Cambridge Analytica Whistleblower on How the Firm Used Facebook Data
* Facebook can be ordered to remove posts worldwide
* Exclusive: The FBI is running Facebook ads targeting Russians in Washington
* Zuckerberg Said Without Control Over Facebook, He Would've Been Fired

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.33%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Vietnamese activist arrested for criticising Communist government on Facebook
* Trump ad on Biden brings focus to Facebook policy that political speech isn't checked
* Facebook's decision to promote Trump's lies shows how it's programmed to protect the powerful
* Facebook’s Libra Cryptocurrency Faces Exodus of Partners
* Penzeys Spices Outspends Democrats on Trump Impeachment Facebook Ads

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.51%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Sweetens Deal for Hackers to Catch Security Bugs
* Zuckerberg defends Facebook as bastion of 'free expression' in speech
* On Facebook's live stream, Zuckerberg's free-speech lecture got a big thumbs up
* Mark Zuckerberg gives speech depicting Facebook as at the center of struggle for free expression
* Facebook, Visa among the stocks with high ESG marks — enough to outrun the S&P 500

Negative Headlines:
* Facebook founder Chris Hughes joins George Soros, Pierre Omidyar in $10 million antitrust effort
* Federal Reserve sets out regulatory challenges facing Facebook's Libra
* Prison workers under investigation for allegedly mocking transgender inmates in private Facebook groups
* As Facebook's libra faces headwinds, China is racing to launch its own global cryptocurrency
* Illinois Prison Guards Mocked, Demeaned Transgender Inmates In Private Facebook Groups

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.4%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Thursday briefing: US government grills Zuckerberg over Facebook's cryptocurrency plans
* Facebook's Zuckerberg grilled in U.S. Congress on digital currency, privacy, elections
* Facebook CEO Mark Zuckerberg Says He Comes Across As 'Robotic'
* 'You're trying to help drug dealers': Zuckerberg faces angry lawmakers at Libra hearing
* Mark Zuckerberg Endures Another Grilling on Capitol Hill

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.99%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook's Results Beat Expectations

Negative Headlines:
* Facebook Sued For Discriminatory Financial Services Ads
* EU disputes Facebook's claims of progress against fake accounts
* Facebook Sues Israeli Firm NSO Group For Hacking WhatsApp Messages Of Journalists, Human Rights Workers
* TSA employees flock to private Facebook group to demean passengers
* Want to delete Facebook? Read what happened to these people first

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.23%
